id,name,bpm,nps
450,AllMapsGroupedV1,133.0,24.0
458,AllMapsGroupedV1,135.0,24.0
577,AllMapsGroupedV1,162.0,24.0
666,AllMapsGroupedV1,180.0,24.0
540,AllMapsGroupedV1,150.0,25.0
567,AllMapsGroupedV1,160.0,25.0
619,AllMapsGroupedV1,170.0,25.0
632,AllMapsGroupedV1,174.0,25.0
671,AllMapsGroupedV1,180.0,25.0
755,AllMapsGroupedV1,200.0,25.0
786,AllMapsGroupedV1,205.0,25.0
846,AllMapsGroupedV1,230.0,25.0
904,AllMapsGroupedV1,276.0,25.0
219,AllMapsGroupedV1,89.0,26.0
274,AllMapsGroupedV1,100.0,26.0
410,AllMapsGroupedV1,125.0,26.0
672,AllMapsGroupedV1,180.0,26.0
720,AllMapsGroupedV1,198.0,26.0
789,AllMapsGroupedV1,208.0,26.0
834,AllMapsGroupedV1,222.0,26.0
275,AllMapsGroupedV1,100.0,27.0
350,AllMapsGroupedV1,116.0,27.0
377,AllMapsGroupedV1,120.0,27.0
568,AllMapsGroupedV1,160.0,27.0
600,AllMapsGroupedV1,169.0,27.0
756,AllMapsGroupedV1,200.0,27.0
802,AllMapsGroupedV1,210.0,27.0
858,AllMapsGroupedV1,240.0,27.0
910,AllMapsGroupedV1,280.0,27.0
276,AllMapsGroupedV1,100.0,28.0
411,AllMapsGroupedV1,125.0,28.0
514,AllMapsGroupedV1,149.0,28.0
708,AllMapsGroupedV1,190.0,28.0
902,AllMapsGroupedV1,275.0,28.0
302,AllMapsGroupedV1,103.0,29.0
583,AllMapsGroupedV1,164.0,29.0
673,AllMapsGroupedV1,180.0,29.0
787,AllMapsGroupedV1,205.0,29.0
837,AllMapsGroupedV1,222.0,29.0
930,AllMapsGroupedV1,300.0,29.0
957,AllMapsGroupedV1,340.0,29.0
987,AllMapsGroupedV1,400.0,29.0
709,AllMapsGroupedV1,190.0,30.0
824,AllMapsGroupedV1,220.0,30.0
847,AllMapsGroupedV1,230.0,30.0
949,AllMapsGroupedV1,320.0,30.0
509,AllMapsGroupedV1,146.0,31.0
757,AllMapsGroupedV1,200.0,31.0
827,AllMapsGroupedV1,220.0,31.0
859,AllMapsGroupedV1,240.0,31.0
879,AllMapsGroupedV1,252.0,31.0
279,AllMapsGroupedV1,100.0,32.0
687,AllMapsGroupedV1,186.0,32.0
762,AllMapsGroupedV1,200.0,32.0
979,AllMapsGroupedV1,385.0,32.0
1004,AllMapsGroupedV1,6000.0,32.0
309,AllMapsGroupedV1,105.0,33.0
379,AllMapsGroupedV1,120.0,33.0
467,AllMapsGroupedV1,138.0,33.0
765,AllMapsGroupedV1,200.0,33.0
814,AllMapsGroupedV1,216.0,33.0
899,AllMapsGroupedV1,270.0,33.0
210,AllMapsGroupedV1,80.0,34.0
280,AllMapsGroupedV1,100.0,34.0
592,AllMapsGroupedV1,167.0,34.0
710,AllMapsGroupedV1,190.0,34.0
766,AllMapsGroupedV1,200.0,34.0
848,AllMapsGroupedV1,230.0,34.0
860,AllMapsGroupedV1,240.0,34.0
980,AllMapsGroupedV1,385.0,34.0
1000,AllMapsGroupedV1,511.0,34.0
380,AllMapsGroupedV1,120.0,35.0
431,AllMapsGroupedV1,129.0,35.0
541,AllMapsGroupedV1,150.0,35.0
651,AllMapsGroupedV1,175.0,35.0
998,AllMapsGroupedV1,500.0,35.0
486,AllMapsGroupedV1,140.0,36.0
803,AllMapsGroupedV1,210.0,36.0
828,AllMapsGroupedV1,220.0,36.0
861,AllMapsGroupedV1,240.0,36.0
974,AllMapsGroupedV1,350.0,36.0
281,AllMapsGroupedV1,100.0,37.0
767,AllMapsGroupedV1,200.0,37.0
903,AllMapsGroupedV1,275.0,37.0
911,AllMapsGroupedV1,280.0,37.0
958,AllMapsGroupedV1,340.0,37.0
310,AllMapsGroupedV1,105.0,38.0
578,AllMapsGroupedV1,163.0,38.0
768,AllMapsGroupedV1,200.0,38.0
880,AllMapsGroupedV1,252.0,38.0
